dayOfWeek,category,itemCost,satisfaction,online,,,,,,,,,,,
sat,Apparel,95,3,0,,,,,,Apparel,,,,,mon
fri,Collectible,67,9,0,,,,,,Jewelry,,,,,tue
thu,Stationery,31,3,1,,,,,,Household,,,,,wed
tue,Electronics,43,7,1,,,,,,Stationery,,,,,thu
sat,Cosmetics,42,5,1,,,,,,Toys,,,,,fri
wed,Furniture,49,4,1,,,,,,Virtual Goods,,,,,sat
mon,Food,71,4,1,,,,,,Electronics,,,,,sun
tue,Furniture,11,3,0,,,,,,Furniture,,,,,
sat,Cosmetics,48,1,1,,,,,,Food,,,,,
thu,Toys,51,7,0,,,,,,Cosmetics,,,,,
fri,Virtual Goods,30,5,1,,,,,,Books,,,,,
sun,Stationery,75,6,0,,,,,,Software,,,,,
sat,Virtual Goods,56,1,1,,,,,,Collectible,,,,,
fri,Household,86,2,1,,,,,,,,,,,
sat,Jewelry,3,8,1,,,,,,,,,,,
wed,Apparel,56,1,0,,,,,,,,,,,
tue,Apparel,58,4,1,,,,,,,,,,,
wed,Jewelry,40,3,0,,,,,,1. finish generate value,,,,,
sun,Toys,73,1,1,,,,,,2. copy over this whole this,,,,,
thu,Toys,81,6,0,,,,,,3. paste as values in a new excel file,,,,,
mon,Food,70,9,0,,,,,,4. save as csv,,,,,
sat,Jewelry,43,1,0,,,,,,,,,,,
fri,Food,69,6,1,,,,,,,,,,,
fri,Apparel,92,1,1,,,,,,,,,,,
sun,Books,31,5,1,,,,,,,,,,,
thu,Electronics,79,8,1,,,,,,,,,,,
tue,Virtual Goods,100,6,0,,,,,,,,,,,
fri,Stationery,39,3,0,,,,,,,,,,,
wed,Electronics,52,8,1,,,,,,,,,,,
wed,Jewelry,23,2,0,,,,,,,,,,,
wed,Cosmetics,52,5,1,,,,,,,,,,,
mon,Household,77,8,1,,,,,,,,,,,
thu,Household,55,8,0,,,,,,,,,,,
sat,Stationery,72,4,0,,,,,,,,,,,
thu,Toys,15,1,1,,,,,,,,,,,
sat,Furniture,76,2,1,,,,,,,,,,,
wed,Cosmetics,3,6,1,,,,,,,,,,,
mon,Jewelry,46,2,1,,,,,,,,,,,
fri,Electronics,24,4,0,,,,,,,,,,,
thu,Household,30,10,0,,,,,,,,,,,
wed,Software,32,10,1,,,,,,,,,,,
sat,Software,23,5,1,,,,,,,,,,,
thu,Collectible,96,1,1,,,,,,,,,,,
thu,Toys,21,10,1,,,,,,,,,,,
thu,Household,62,3,0,,,,,,,,,,,
thu,Electronics,36,8,1,,,,,,,,,,,
sat,Toys,72,6,0,,,,,,,,,,,
sat,Cosmetics,92,2,1,,,,,,,,,,,
thu,Virtual Goods,15,8,0,,,,,,,,,,,
fri,Jewelry,82,6,0,,,,,,,,,,,
wed,Books,86,1,1,,,,,,,,,,,
mon,Household,67,9,0,,,,,,,,,,,
fri,Jewelry,100,7,1,,,,,,,,,,,
sun,Stationery,41,6,0,,,,,,,,,,,
sun,Cosmetics,46,2,1,,,,,,,,,,,
wed,Virtual Goods,53,3,1,,,,,,,,,,,
mon,Jewelry,82,10,1,,,,,,,,,,,
wed,Virtual Goods,84,2,0,,,,,,,,,,,
mon,Books,28,2,0,,,,,,,,,,,
mon,Furniture,9,10,0,,,,,,,,,,,
mon,Stationery,17,8,1,,,,,,,,,,,
fri,Apparel,89,4,1,,,,,,,,,,,
thu,Electronics,91,7,1,,,,,,,,,,,
wed,Cosmetics,38,8,0,,,,,,,,,,,
sat,Food,95,7,1,,,,,,,,,,,
thu,Virtual Goods,98,3,1,,,,,,,,,,,
thu,Household,39,5,0,,,,,,,,,,,
sat,Apparel,41,4,1,,,,,,,,,,,
sun,Furniture,59,6,1,,,,,,,,,,,
tue,Collectible,52,2,0,,,,,,,,,,,
tue,Household,2,7,1,,,,,,,,,,,
fri,Virtual Goods,20,6,0,,,,,,,,,,,
sun,Electronics,56,2,1,,,,,,,,,,,
sun,Household,97,2,1,,,,,,,,,,,
fri,Household,27,2,0,,,,,,,,,,,
mon,Virtual Goods,43,10,1,,,,,,,,,,,
sat,Toys,56,2,0,,,,,,,,,,,
sat,Stationery,89,5,0,,,,,,,,,,,
fri,Household,95,4,1,,,,,,,,,,,
sun,Furniture,1,2,0,,,,,,,,,,,
tue,Stationery,55,8,1,,,,,,,,,,,
thu,Collectible,36,10,1,,,,,,,,,,,
wed,Stationery,73,1,1,,,,,,,,,,,
thu,Jewelry,82,7,0,,,,,,,,,,,
sun,Electronics,13,10,0,,,,,,,,,,,
tue,Stationery,36,2,0,,,,,,,,,,,
wed,Furniture,47,4,1,,,,,,,,,,,
wed,Cosmetics,90,6,1,,,,,,,,,,,
fri,Household,56,4,0,,,,,,,,,,,
thu,Collectible,94,9,1,,,,,,,,,,,
sat,Collectible,54,2,1,,,,,,,,,,,
fri,Apparel,55,4,0,,,,,,,,,,,
thu,Stationery,79,7,0,,,,,,,,,,,
tue,Furniture,80,7,1,,,,,,,,,,,
tue,Apparel,88,6,0,,,,,,,,,,,
mon,Jewelry,56,3,1,,,,,,,,,,,
sat,Cosmetics,11,5,0,,,,,,,,,,,
wed,Books,11,1,0,,,,,,,,,,,
mon,Collectible,29,3,0,,,,,,,,,,,
